driver_id,ride_id,pickup_time,dropoff_time,trip_distance,trip_duration,status,payment_amount,rating,fraud_flag
D135,R0001,10/4/2025 23:50,10/5/2025 0:21,9.988962852,31,completed,53.89,2,0
D024,R0002,10/16/2025 12:02,10/16/2025 12:15,4.743868488,13,completed,25.64,3,0
D083,R0003,10/19/2025 23:27,10/19/2025 23:31,1.494027863,4,suspicious,5.75,4,1
D064,R0004,10/5/2025 16:36,10/5/2025 17:00,8.301813831,24,completed,34.58,3,0
D121,R0005,10/3/2025 3:47,10/3/2025 4:17,10.59666332,30,completed,51.12,3,0
D163,R0006,10/13/2025 16:32,10/13/2025 17:26,10.17908779,54,completed,55.27,5,0
D197,R0007,10/8/2025 15:07,10/8/2025 15:27,11.81198205,20,completed,62.05,2,0
D026,R0008,10/17/2025 12:25,10/17/2025 13:20,8.31073046,55,completed,39.56,4,0
D014,R0009,10/6/2025 23:06,10/6/2025 23:55,12.88424584,49,completed,51.99,4,0
D044,R0010,10/8/2025 18:05,10/8/2025 18:13,8.481065826,8,completed,31.71,2,0
D054,R0011,10/4/2025 5:37,10/4/2025 6:13,19.60318776,36,completed,105.69,4,0
D076,R0012,10/18/2025 2:36,10/18/2025 3:18,2.085454934,42,completed,8.52,5,0
D038,R0013,10/16/2025 0:03,10/16/2025 0:30,15.08202798,27,completed,61.9,5,0
D008,R0014,10/12/2025 12:16,10/12/2025 12:19,20.25272754,3,suspicious,123.32,4,1
D023,R0015,10/5/2025 22:16,10/5/2025 23:09,1.337915745,53,suspicious,8.24,3,1
D112,R0016,10/14/2025 18:43,10/14/2025 19:26,9.603177485,43,completed,52.75,2,0
D119,R0017,10/2/2025 22:54,10/2/2025 23:51,3.289842796,57,completed,18.63,4,0
D098,R0018,10/8/2025 0:42,10/8/2025 1:11,16.30137931,29,completed,56.7,3,0
D065,R0019,10/1/2025 14:22,10/1/2025 14:50,19.25884117,28,completed,95.82,1,0
D165,R0020,10/17/2025 23:45,10/18/2025 0:13,18.05590935,28,completed,68.74,1,0
D047,R0021,10/16/2025 19:23,10/16/2025 19:57,8.544543546,34,completed,34.15,5,0
D048,R0022,10/1/2025 23:39,10/2/2025 0:10,13.95618619,31,completed,75.3,3,0
D139,R0023,10/8/2025 20:01,10/8/2025 20:05,4.869310894,4,completed,26.94,4,0
D054,R0024,10/8/2025 7:33,10/8/2025 8:05,5.477681413,32,completed,34.12,4,0
D005,R0025,10/22/2025 3:20,10/22/2025 3:55,9.551148114,35,completed,44.97,4,0
D189,R0026,10/6/2025 11:26,10/6/2025 11:31,9.461652552,5,completed,48.6,5,0
D163,R0027,10/21/2025 15:15,10/21/2025 15:59,17.61846479,44,completed,64.72,1,0
D145,R0028,10/5/2025 19:45,10/5/2025 20:36,10.69206811,51,canceled,42.84,2,0
D049,R0029,10/20/2025 12:08,10/20/2025 13:06,4.554086319,58,completed,31.45,4,0
D171,R0030,10/5/2025 7:35,10/5/2025 8:14,2.23549003,39,completed,8.85,2,0
D126,R0031,10/5/2025 6:31,10/5/2025 6:59,13.74243,28,completed,73.81,3,0
D163,R0032,10/18/2025 20:22,10/18/2025 20:41,9.871706945,19,completed,48.19,2,0
D157,R0033,10/9/2025 10:14,10/9/2025 10:27,16.20471306,13,completed,102.76,4,0
D187,R0034,10/12/2025 3:48,10/12/2025 4:06,13.19677064,18,completed,56.8,4,0
D194,R0035,10/22/2025 5:26,10/22/2025 5:31,1.398107894,5,completed,7.8,4,0
D175,R0036,10/2/2025 21:45,10/2/2025 22:26,10.54172851,41,completed,60.12,1,0
D198,R0037,10/16/2025 11:18,10/16/2025 11:43,3.72336451,25,completed,15.01,4,0
D161,R0038,10/7/2025 15:28,10/7/2025 16:18,5.19891825,50,completed,21.02,1,0
D006,R0039,10/15/2025 18:52,10/15/2025 19:06,3.234466427,14,completed,17.89,1,0
D062,R0040,10/11/2025 18:31,10/11/2025 18:52,7.692912462,21,completed,49.43,1,0
D107,R0041,10/13/2025 18:32,10/13/2025 18:45,16.40875951,13,completed,108.2,4,0
D050,R0042,10/3/2025 0:37,10/3/2025 1:27,14.93647891,50,completed,102.98,2,0
D093,R0043,10/9/2025 13:29,10/9/2025 13:49,4.859393234,20,completed,27.25,1,0
D044,R0044,10/17/2025 10:48,10/17/2025 10:54,5.222206064,6,completed,19.4,3,0
D180,R0045,10/20/2025 5:11,10/20/2025 5:46,16.78270942,35,completed,75.03,5,0
D147,R0046,10/14/2025 22:58,10/14/2025 23:08,12.68181167,10,completed,55.8,1,0
D191,R0047,10/21/2025 11:24,10/21/2025 11:59,14.84569323,35,completed,74.18,4,0
D017,R0048,10/6/2025 13:59,10/6/2025 14:50,1.583583194,51,suspicious,10.71,5,1
D021,R0049,10/1/2025 23:40,10/2/2025 0:23,22.20385653,43,completed,104.64,5,0
D046,R0050,10/19/2025 2:35,10/19/2025 3:10,14.73501926,35,completed,66.9,1,0
D155,R0051,10/2/2025 12:16,10/2/2025 12:36,8.606128124,20,completed,54.88,3,0
D098,R0052,10/10/2025 5:13,10/10/2025 5:39,14.68146808,26,completed,102.19,2,0
D162,R0053,10/2/2025 5:29,10/2/2025 6:13,7.099927578,44,completed,45.4,1,0
D057,R0054,10/6/2025 6:06,10/6/2025 6:56,17.85961802,50,completed,111.4,3,0
D011,R0055,10/7/2025 7:16,10/7/2025 7:42,7.148966646,26,completed,21.6,4,0
D161,R0056,10/9/2025 14:39,10/9/2025 14:42,20.1590843,3,completed,124.65,4,0
D198,R0057,10/10/2025 8:41,10/10/2025 9:17,1.662802525,36,completed,9.46,3,0
D111,R0058,10/17/2025 2:41,10/17/2025 3:05,14.02347123,24,completed,56.11,2,0
D004,R0059,10/11/2025 21:38,10/11/2025 22:34,20.74241346,56,completed,105.56,5,0
D193,R0060,10/12/2025 15:08,10/12/2025 15:54,7.51702998,46,completed,47.87,4,0
D198,R0061,10/6/2025 2:06,10/6/2025 2:43,10.87249372,37,completed,38.39,2,0
D061,R0062,10/19/2025 11:38,10/19/2025 12:10,13.39120836,32,completed,54.68,4,0
D025,R0063,10/18/2025 19:56,10/18/2025 20:24,18.85702343,28,completed,62.67,1,0
D199,R0064,10/2/2025 0:01,10/2/2025 0:04,17.52399762,3,completed,83.58,1,0
D122,R0065,10/10/2025 15:00,10/10/2025 15:18,7.718413527,18,completed,40.27,5,0
D109,R0066,10/15/2025 13:53,10/15/2025 14:07,11.0704015,14,completed,66.77,1,0
D165,R0067,10/16/2025 5:32,10/16/2025 6:02,9.205112001,30,completed,39.08,4,0
D101,R0068,10/8/2025 12:17,10/8/2025 12:35,5.207926477,18,completed,32.43,4,0
D144,R0069,10/4/2025 8:12,10/4/2025 8:44,5.156844878,32,completed,28.17,5,0
D174,R0070,10/6/2025 9:10,10/6/2025 10:04,22.2803293,54,completed,150.03,1,0
D094,R0071,10/4/2025 10:51,10/4/2025 11:38,13.94505876,47,completed,94.49,2,0
D101,R0072,10/20/2025 18:42,10/20/2025 19:16,1.636271453,34,completed,9.34,3,0
D124,R0073,10/20/2025 17:54,10/20/2025 18:47,11.99806937,53,completed,54.52,1,0
D151,R0074,10/17/2025 23:47,10/18/2025 0:32,16.63563452,45,completed,64.19,2,0
D028,R0075,10/2/2025 16:42,10/2/2025 17:34,1.935115175,52,completed,10.88,5,0
D002,R0076,10/18/2025 9:30,10/18/2025 10:06,1.558526458,36,completed,5.41,5,0
D175,R0077,10/6/2025 12:27,10/6/2025 13:25,23.47955564,58,completed,161.31,4,0
D158,R0078,10/3/2025 7:27,10/3/2025 7:38,5.258549051,11,completed,36.61,4,0
D155,R0079,10/2/2025 17:43,10/2/2025 18:24,9.928434059,41,completed,66.75,5,0
D105,R0080,10/5/2025 4:04,10/5/2025 5:01,6.726324635,57,completed,26.59,1,0
D182,R0081,10/11/2025 2:31,10/11/2025 2:53,13.82385936,22,completed,57.93,3,0
D147,R0082,10/6/2025 9:20,10/6/2025 9:34,10.34084029,14,completed,45.7,4,0
D145,R0083,10/16/2025 1:30,10/16/2025 2:24,23.80148721,54,completed,79.33,5,0
D096,R0084,10/8/2025 23:30,10/8/2025 23:57,8.037058521,27,completed,54.53,1,0
D021,R0085,10/16/2025 5:05,10/16/2025 6:00,3.723150448,55,canceled,26,2,0
D058,R0086,10/18/2025 4:34,10/18/2025 5:19,22.30490039,45,completed,79.67,2,0
D160,R0087,10/9/2025 5:56,10/9/2025 6:15,21.08713298,19,completed,99.2,2,0
D046,R0088,10/14/2025 11:45,10/14/2025 12:14,10.51963845,29,completed,53.16,3,0
D035,R0089,10/19/2025 14:32,10/19/2025 15:19,14.95133001,47,completed,59.01,1,0
D034,R0090,10/3/2025 10:21,10/3/2025 10:59,15.20532973,38,completed,74.91,4,0
D169,R0091,10/18/2025 19:29,10/18/2025 19:58,14.40170199,29,completed,49.61,3,0
D036,R0092,10/7/2025 19:15,10/7/2025 20:07,7.088372173,52,completed,42.27,5,0
D086,R0093,10/14/2025 18:16,10/14/2025 18:57,20.74696845,41,completed,81.95,1,0
D074,R0094,10/17/2025 21:20,10/17/2025 22:11,9.996893909,51,completed,38.93,2,0
D170,R0095,10/17/2025 0:20,10/17/2025 0:54,1.291707393,34,completed,8.48,5,0
D180,R0096,10/10/2025 20:43,10/10/2025 21:20,2.771117554,37,completed,10.16,1,0
D059,R0097,10/15/2025 2:48,10/15/2025 3:21,17.69796854,33,completed,94.46,1,0
D157,R0098,10/8/2025 20:55,10/8/2025 21:07,22.9661042,12,completed,105.14,4,0
D026,R0099,10/17/2025 8:43,10/17/2025 9:13,9.055841555,30,completed,39.97,2,0
D115,R0100,10/21/2025 4:32,10/21/2025 5:11,7.382510199,39,completed,35.53,1,0
D084,R0101,10/18/2025 2:35,10/18/2025 3:30,7.714324172,55,completed,31.5,5,0
D003,R0102,10/5/2025 5:13,10/5/2025 5:21,22.86225243,8,completed,121.73,1,0
D097,R0103,10/18/2025 20:53,10/18/2025 21:51,11.03783287,58,completed,35.11,1,0
D147,R0104,10/7/2025 2:15,10/7/2025 2:35,19.66245481,20,canceled,88.62,2,0
D106,R0105,10/15/2025 22:48,10/15/2025 23:17,24.27794555,29,completed,118.35,3,0
D193,R0106,10/6/2025 22:15,10/6/2025 22:38,4.212450851,23,completed,24.29,5,0
D113,R0107,10/11/2025 17:46,10/11/2025 18:26,24.99322416,40,completed,151.86,5,0
D041,R0108,10/10/2025 14:16,10/10/2025 14:37,19.16994885,21,completed,73.23,1,0
D054,R0109,10/18/2025 3:23,10/18/2025 3:38,23.89722465,15,completed,135.9,2,0
D125,R0110,10/19/2025 9:50,10/19/2025 10:00,9.595905233,10,completed,48.76,3,0
D099,R0111,10/8/2025 7:36,10/8/2025 7:50,13.48392403,14,completed,70.71,3,0
D089,R0112,10/14/2025 13:58,10/14/2025 14:48,10.68358879,50,completed,64.32,5,0
D126,R0113,10/15/2025 18:34,10/15/2025 18:47,16.34467257,13,completed,89.39,2,0
D172,R0114,10/6/2025 19:37,10/6/2025 20:13,9.414101411,36,completed,44.72,2,0
D199,R0115,10/17/2025 22:32,10/17/2025 23:12,9.358131209,40,completed,42.92,2,0
D143,R0116,10/4/2025 15:32,10/4/2025 15:39,21.69672901,7,completed,145.51,2,0
D172,R0117,10/20/2025 10:07,10/20/2025 10:29,19.45402579,22,completed,106.67,2,0
D105,R0118,10/21/2025 4:34,10/21/2025 5:19,8.890038647,45,completed,29.37,1,0
D198,R0119,10/5/2025 13:58,10/5/2025 14:16,12.04285982,18,completed,69.74,4,0
D137,R0120,10/7/2025 3:12,10/7/2025 4:10,5.365122026,58,completed,26.27,5,0
D115,R0121,10/17/2025 21:14,10/17/2025 22:07,24.35464838,53,completed,106.68,2,0
D087,R0122,10/6/2025 2:21,10/6/2025 2:44,5.248251623,23,completed,25.42,2,0
D117,R0123,10/21/2025 22:13,10/21/2025 23:04,22.46121431,51,completed,96.28,2,0
D199,R0124,10/8/2025 12:13,10/8/2025 13:12,20.18584957,59,completed,131.09,5,0
D181,R0125,10/10/2025 16:08,10/10/2025 16:46,1.062280585,38,suspicious,5.72,4,1
D198,R0126,10/7/2025 7:17,10/7/2025 7:41,9.891330467,24,completed,44.27,2,0
D192,R0127,10/11/2025 16:34,10/11/2025 16:50,18.93930252,16,completed,110.86,3,0
D133,R0128,10/14/2025 22:49,10/14/2025 23:36,13.77072365,47,completed,70.65,1,0
D073,R0129,10/18/2025 19:29,10/18/2025 19:59,18.69772495,30,completed,118.97,2,0
D140,R0130,10/5/2025 14:48,10/5/2025 15:15,13.84805354,27,completed,67.8,2,0
D016,R0131,10/19/2025 3:05,10/19/2025 3:52,19.94010973,47,completed,102.66,2,0
D138,R0132,10/12/2025 4:08,10/12/2025 4:50,14.38581438,42,completed,64.95,5,0
D019,R0133,10/12/2025 3:19,10/12/2025 3:47,9.713975114,28,completed,42.98,5,0
D183,R0134,10/19/2025 5:28,10/19/2025 6:27,8.928363551,59,completed,34.83,4,0
D062,R0135,10/10/2025 21:58,10/10/2025 22:30,21.41962043,32,completed,136.43,3,0
D027,R0136,10/4/2025 6:04,10/4/2025 6:46,13.58827335,42,canceled,46.85,2,0
D057,R0137,10/7/2025 9:17,10/7/2025 9:34,23.01749471,17,canceled,114.24,3,0
D017,R0138,10/10/2025 18:23,10/10/2025 18:36,18.2429745,13,completed,115.92,5,0
D199,R0139,10/19/2025 13:46,10/19/2025 14:42,5.489049965,56,completed,32.63,4,0
D184,R0140,10/10/2025 5:41,10/10/2025 6:09,3.756083794,28,completed,20,3,0
D192,R0141,10/14/2025 0:50,10/14/2025 1:05,23.36834421,15,completed,104.62,2,0
D017,R0142,10/2/2025 18:59,10/2/2025 19:11,14.16647483,12,completed,81.29,4,0
D024,R0143,10/8/2025 14:08,10/8/2025 14:47,7.111375714,39,completed,38.28,3,0
D134,R0144,10/13/2025 17:48,10/13/2025 18:39,9.372838397,51,completed,64.3,5,0
D027,R0145,10/14/2025 10:59,10/14/2025 11:10,18.5408194,11,completed,124.33,4,0
D143,R0146,10/20/2025 23:46,10/20/2025 23:56,21.20389064,10,completed,80.71,3,0
D045,R0147,10/14/2025 15:22,10/14/2025 15:29,4.94237915,7,completed,25.17,4,0
D045,R0148,10/14/2025 2:40,10/14/2025 3:24,8.588717975,44,completed,41.29,3,0
D145,R0149,10/16/2025 4:46,10/16/2025 5:21,15.97843706,35,completed,84.84,1,0
D062,R0150,10/15/2025 10:17,10/15/2025 11:14,22.58978976,57,completed,149.68,3,0
D019,R0151,10/16/2025 15:09,10/16/2025 15:17,14.02838345,8,completed,83.08,2,0
D020,R0152,10/16/2025 14:46,10/16/2025 15:03,4.342529744,17,completed,22.29,3,0
D124,R0153,10/2/2025 0:40,10/2/2025 1:20,19.92633307,40,completed,121.84,1,0
D016,R0154,10/19/2025 14:33,10/19/2025 14:57,1.804778434,24,suspicious,11.74,1,1
D039,R0155,10/5/2025 16:11,10/5/2025 17:00,13.87555244,49,completed,75.15,5,0
D090,R0156,10/11/2025 5:42,10/11/2025 6:13,13.95665529,31,completed,84.96,3,0
D075,R0157,10/8/2025 7:07,10/8/2025 8:00,16.38754319,53,completed,65.67,5,0
D048,R0158,10/8/2025 23:11,10/8/2025 23:23,20.84317187,12,completed,95.95,2,0
D152,R0159,10/8/2025 12:17,10/8/2025 12:31,23.73480015,14,completed,119.23,1,0
D072,R0160,10/1/2025 19:47,10/1/2025 20:29,7.144372764,42,completed,24.35,4,0
D068,R0161,10/5/2025 9:19,10/5/2025 9:58,19.96203129,39,completed,121.47,2,0
D032,R0162,10/6/2025 5:56,10/6/2025 6:49,2.654116945,53,completed,16.88,3,0
D005,R0163,10/16/2025 14:36,10/16/2025 15:24,11.82014491,48,canceled,75.12,1,0
